,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,delta,gamma,theta,vega,lastPrice,strike,support,SMA_20,SMA_50,RSI,BB_upper,BB_lower,Momentum_14,Close_lag1,RSI_lag1
2024-05-24,524.5436509500731,526.9485363251738,523.5797559089358,526.1237182617188,41258400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,516.7130142211914,512.473139038086,74.8934956934957,536.3873008512771,497.0387275911058,12.78936767578125,522.66552734375,76.52793758968595
2024-05-28,526.9485345476596,527.1870215404213,523.8082940687073,526.4913940429688,36269600.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,517.6943298339844,512.8702368164063,74.69775082072415,537.2579572852015,498.13070238276725,12.59063720703125,526.1237182617188,74.8934956934957
2024-05-29,522.3872132285444,524.0070080089147,522.0791574474651,522.8045654296875,45190300.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,518.8927719116211,513.1333770751953,65.19946103505578,536.4231121456243,501.3624316776181,8.85418701171875,526.4913940429688,74.69775082072415
2024-05-30,521.2345570186258,521.9102903899725,518.0645359564732,519.3364868164062,46468500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,519.9988006591797,513.270512084961,54.09123957545936,534.2564343748393,505.74116694352006,2.42474365234375,522.8045654296875,65.19946103505578
2024-05-31,520.3103591267247,524.1958409477306,515.1130776019253,524.066650390625,90785800.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,521.1088043212891,513.4074481201172,59.62829332261068,532.6135701571296,509.60403848544854,6.489013671875,519.3364868164062,54.09123957545936
2024-06-03,525.7063472306155,525.9945088953991,519.3265171165476,524.4939575195312,46835700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,521.9291320800781,513.5187469482422,60.05251225435287,531.7394582781134,512.1188058820429,6.84686279296875,524.066650390625,59.62829332261068
2024-06-04,523.1623577306337,525.8355104123398,521.6717534988908,525.0802612304688,34632700.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,522.5164276123047,513.6614471435547,57.83803926538658,531.5346886265877,513.4981665980217,5.05816650390625,524.4939575195312,60.05251225435287
2024-06-05,527.4453880211063,531.3408169846891,525.4181273332309,531.3209228515625,47610400.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,523.3874359130859,513.9575799560547,57.57659387781904,532.2659035970122,514.5089682291597,4.85931396484375,525.0802612304688,57.83803926538658
2024-06-06,531.6289769858988,532.0662233434001,529.34339583876,531.3109741210938,30808500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,524.2554656982422,514.2725946044922,59.570395576350485,532.6294106828917,515.8815207135927,5.9326171875,531.3209228515625,57.57659387781904
2024-06-07,530.3172560213775,533.5270653257803,529.2042762829789,530.6651000976562,43224500.0,0.0,0.0,0.0,0.3827804008329061,0.005748354611558955,-4623.881939035612,5.40405215758019,270.56,300.0,0,524.9431335449219,514.4880377197265,57.336015683050604,533.0318449185282,516.8544221713156,4.531494140625,531.3109741210938,59.570395576350485
